dataset,representation,task,subgroup_type,subgroup,n,positive_n,metric,value
polyvore_d_clean,gr_lite,FITB,outfit_length,2,827,,accuracy,0.46432889963724305
polyvore_d_clean,gr_lite,FITB,outfit_length,3,2536,,accuracy,0.5398264984227129
polyvore_d_clean,gr_lite,FITB,outfit_length,4,3745,,accuracy,0.5508678237650201
polyvore_d_clean,gr_lite,FITB,outfit_length,5,3763,,accuracy,0.5750730799893702
polyvore_d_clean,gr_lite,FITB,outfit_length,6+,4271,,accuracy,0.5757433856239756
polyvore_d_clean,gr_lite,FITB,blank_category,accessories,379,,accuracy,0.5171503957783641
polyvore_d_clean,gr_lite,FITB,blank_category,all-body,1397,,accuracy,0.5819613457408733
polyvore_d_clean,gr_lite,FITB,blank_category,bags,2684,,accuracy,0.5860655737704918
polyvore_d_clean,gr_lite,FITB,blank_category,bottoms,1610,,accuracy,0.5192546583850932
polyvore_d_clean,gr_lite,FITB,blank_category,hats,294,,accuracy,0.564625850340136
polyvore_d_clean,gr_lite,FITB,blank_category,jewellery,2056,,accuracy,0.566147859922179
polyvore_d_clean,gr_lite,FITB,blank_category,outerwear,1025,,accuracy,0.56
polyvore_d_clean,gr_lite,FITB,blank_category,scarves,208,,accuracy,0.5625
polyvore_d_clean,gr_lite,FITB,blank_category,shoes,3133,,accuracy,0.5646345355888924
polyvore_d_clean,gr_lite,FITB,blank_category,sunglasses,504,,accuracy,0.503968253968254
polyvore_d_clean,gr_lite,FITB,blank_category,tops,1852,,accuracy,0.5275377969762419
iqon3000_clean,resnet50,CP,outfit_length,2,10846,5423.0,roc_auc,0.5438697206552473
iqon3000_clean,resnet50,CP,outfit_length,3,10772,5386.0,roc_auc,0.582508491503808
iqon3000_clean,resnet50,CP,outfit_length,4,8752,4376.0,roc_auc,0.6027654634803766
iqon3000_clean,resnet50,CP,outfit_length,5,7542,3771.0,roc_auc,0.608097280527376
iqon3000_clean,resnet50,CP,outfit_length,6+,11688,5844.0,roc_auc,0.6317366694916564
